domain,fb,name,sources,tw,usnpl_tag,website,wp_tags,yt
aetn.org,,KETS,stationindex,,TV station,http://www.aetn.org/,,
afro.com,https://www.facebook.com/AfroAmericanNews,Baltimore Afro American,usnpl.com,afronews,Newspapers,http://www.afro.com,,
agalert.com,https://www.facebook.com/cafarmbureau,Ag Alert,usnpl.com,cafarmbureau,Newspapers,http://www.agalert.com,,http://www.youtube.com/calfarmbureau
agjournalonline.com,https://www.facebook.com/pages/Ag-Journal/134006649997395,Ag Journal,usnpl.com,,Newspapers,http://www.agjournalonline.com,,
ahwatukee.com,https://www.facebook.com/pages/Ahwatukee-Foothills-News/42435708153,Ahwatukee Foothills News,usnpl.com,ahwatukeefn,Newspapers,http://www.ahwatukee.com,,
aikenstandard.com,https://www.facebook.com/aikenstandard,Aiken Standard,usnpl.com;AWIS,aikenstandard,Newspapers,http://www.aikenstandard.com,,https://www.youtube.com/user/aikenstandard
ainsworthnews.com,https://www.facebook.com/ainsworthnews,Ainsworth Star-Journal,usnpl.com,,Newspapers,http://www.ainsworthnews.com,,
ainsworthnews.com,https://www.facebook.com/pages/Midland-News-and-Printing/157775567590671,Valentine Midland News,usnpl.com,,Newspapers,http://www.ainsworthnews.com/valentine-midland-news,,
ainsworthnews.com,,Gregory Times-Advocate,usnpl.com,,Newspapers,https://www.ainsworthnews.com/gregory-times-advocate,,
airforcetimes.com,https://www.facebook.com/AirForceTimes,Air Force Times,usnpl.com,airforcetimes,Newspapers,http://www.airforcetimes.com,,
ajc.com,https://www.facebook.com/ajc,Atlanta Journal-Constitution,usnpl.com,ajc,Newspapers,http://www.ajc.com,,http://www.youtube.com/user/ajcvideo
ajnews.com,https://www.facebook.com/pages/The-Apache-JunctionGold-Canyon-News/273405053419,Apache Junction News,usnpl.com,,Newspapers,http://www.ajnews.com,,
akbizmag.com,https://www.facebook.com/AKBusinessMonth,AK Business Monthly,usnpl.com,AKBusinessMonth,Magazines,http://www.akbizmag.com,,
akron.com,https://www.facebook.com/akrondotcom,Akron.com,usnpl.com,Akrondotcom,Newspapers,http://www.akron.com,,
akronhometowner.com,https://www.facebook.com/pages/The-Akron-Hometowner/100574473356649,Hometowner,usnpl.com,akronht,Newspapers,http://akronhometowner.com,,
akronlegalnews.com,,Akron Legal News,usnpl.com,,Newspapers,http://www.akronlegalnews.com,,
akronlife.com,https://www.facebook.com/akronlife,Akron Life,usnpl.com,akronlifemag,Magazines,http://www.akronlife.com,,http://www.youtube.com/user/akronlifemag
akronnewsreporter.com,https://www.facebook.com/AkronNewsReporter,Akron News-Reporter,usnpl.com,AkronNewsReport,Newspapers,http://www.akronnewsreporter.com,,
aksuperstation.com,,KATN,stationindex,,TV station,http://www.aksuperstation.com/,,
al.com,https://www.facebook.com/birminghamnews,Birmingham News,usnpl.com,ALcomBirmingham,Newspapers,http://www.al.com/birmingham,,
al.com,https://www.facebook.com/huntsvilletimes,Huntsville Times,usnpl.com,ALcomHuntsville,Newspapers,http://www.al.com/huntsville,,
al.com,https://www.facebook.com/PressRegisterConnect,Press-Register,usnpl.com,alcommobile,Newspapers,http://www.al.com/mobile,,
alabama.travel,https://www.facebook.com/AlabamaTravel,Bureau of Tourism & Travel,usnpl.com,TweetHomeAla,Magazines,http://alabama.travel,,http://www.youtube.com/user/Alabamatourism
alabamamessenger.com,https://www.facebook.com/pages/The-Alabama-Messenger/471601942875195,Alabama Messenger,usnpl.com,,Newspapers,http://www.alabamamessenger.com,,
alabamanews.net,,WNCF,stationindex,,TV station,http://www.alabamanews.net/,,
alachuatoday.com,https://www.facebook.com/ACTNEWS,Alachua Today,usnpl.com,,Newspapers,http://www.alachuatoday.com,,http://www.youtube.com/user/AlachuaCountyToday
alamedasun.com,https://www.facebook.com/alameda.sun.1,Alameda Sun,usnpl.com,Alameda_Sun,Newspapers,http://www.alamedasun.com,,
alamogordonews.com,https://www.facebook.com/pages/Alamogordo-Daily-News/124307640925620,Alamogordo Daily News ,usnpl.com,alamogordonews,Newspapers,http://www.alamogordonews.com,,http://www.youtube.com/user/AlamogordoDailyNews
alamosanews.com,https://www.facebook.com/pages/Alamosa-Valley-Courier/141175752647498,Valley Courier,usnpl.com,,Newspapers,http://www.alamosanews.com,,
alaska broadcast television,,KCFT-LP,stationindex,,TV station,Alaska Broadcast Television,,
alaska.edu,https://www.facebook.com/UASWhalesong,Whalesong,usnpl.com,,College Newspapers,http://www.uas.alaska.edu/juneau/activities/whalesong,,
alaskaadventures.net,,Austin's Alaska Adventures,usnpl.com,,Magazines,http://www.alaskaadventures.net,,
alaskajournal.com,https://www.facebook.com/AlaskaJournal,Alaska Journal of Commerce,usnpl.com,alaskajournal,Newspapers,http://www.alaskajournal.com,,http://www.youtube.com/user/AlaskaJournal
alaskamagazine.com,https://www.facebook.com/AlaskaMagazine,AK Magazine,usnpl.com,AlaskaMagazine,Magazines,http://www.alaskamagazine.com,,http://www.youtube.com/user/AlaskaMagazine
alaskaone.org,,KUAC,stationindex,,TV station,http://www.alaskaone.org/,,
alaskaoutdoorjournal.com,https://www.facebook.com/AlaskaOutdoorJournal,AK Outdoor Journal,usnpl.com,,Magazines,http://www.alaskaoutdoorjournal.com,,http://www.youtube.com/user/AlaskaOutdoorJournal
alaskastar.com,https://www.facebook.com/AlaskaStar,Alaska Star ,usnpl.com,Alaska_Star,Newspapers,http://www.alaskastar.com,,
albanyenterprise.com,https://www.facebook.com/pages/The-Albany-Enterprise/183250261761102,Albany Enterprise,usnpl.com,,Newspapers,http://www.albanyenterprise.com,,
albanyherald.com,https://www.facebook.com/albanyherald,Albany Herald,usnpl.com;AWIS,Albany_Herald,Newspapers,http://www.albanyherald.com,,https://www.youtube.com/channel/UCaiXNQemIhhfpVvyrw_S_kA
albertleatribune.com,https://www.facebook.com/albertleatribune,Albert Lea Tribune,usnpl.com;AWIS,altribune,Newspapers,http://www.albertleatribune.com,,http://www.youtube.com/user/AlbertLeaTribune
albianews.com,https://www.facebook.com/AlbiaNewspapers,Albia Union-Republican,usnpl.com,,Newspapers,http://www.albianews.com,,
albionnewsonline.com,,Albion News,usnpl.com,,Newspapers,http://www.albionnewsonline.com,,
albionnewsonline.com,,Petersburg Press,usnpl.com,,Newspapers,http://www.albionnewsonline.com/category/petersburg-press,,
albionpleiad.com,http://www.facebook.com/TheAlbionPleiad,Pleiad,usnpl.com,PleiadOnline,College Newspapers,http://www.albionpleiad.com,,https://www.youtube.com/user/TheAlbionPleiad/videos
alconareview.com,,Alcona County Review,usnpl.com,,Newspapers,http://www.alconareview.com,,
aldenadvance.com,,Alden Advance,usnpl.com,,Newspapers,http://aldenadvance.com,,
aldenadvertisernews.com,https://www.facebook.com/AldenAdvertiser,Alden Advertiser,usnpl.com,AldenAdvertiser,Newspapers,http://aldenadvertisernews.com,,
aledotimesrecord.com,https://www.facebook.com/AledoTimesRecord,Times Record,usnpl.com,,Newspapers,http://www.aledotimesrecord.com,,
alestlelive.com,https://www.facebook.com/Alestlelive,Alestle,usnpl.com,thealestle,College Newspapers,http://www.alestlelive.com,,https://www.youtube.com/user/alestlegroup/videos
alexandriagazette.com,https://www.facebook.com/ConnectionNewspapers,Alexandria Gazette Packet,usnpl.com,marykimm,Newspapers,http://www.alexandriagazette.com,,
alexcityoutlook.com,https://www.facebook.com/pages/The-Alexander-City-Outlook/84710064891,Alexander City Outlook,usnpl.com,alexcityoutlook,Newspapers,http://www.alexcityoutlook.com,,http://www.youtube.com/user/AlexanderCityOutlook
alexcityoutlook.com,https://www.facebook.com/pages/Dadeville-Record/47940556546,Dadeville Record,usnpl.com,,Newspapers,http://www.alexcityoutlook.com/category/dadeville,,
alextimes.com,https://www.facebook.com/pages/Alexandria-Times/226316950757380,Alexandria Times,usnpl.com,AlexTimesNews,Newspapers,http://alextimes.com,,
algona.com,,Algona Upper Des Moines,usnpl.com,,Newspapers,http://www.algona.com,,http://www.youtube.com/user/AlgonaUDM
alianzanews.com,,Alianza Metropolitan,usnpl.com,,Newspapers,http://noticias.alianzanews.com,,
alibi.com,https://www.facebook.com/weeklyalibi,Weekly Alibi ,usnpl.com,weeklyalibi,Newspapers,http://alibi.com,,http://www.youtube.com/user/weeklyalibi
alicetx.com,https://www.facebook.com/aliceechonews,Alice Echo-News,usnpl.com,EchoNewsJournal,Newspapers,http://www.alicetx.com,,https://www.youtube.com/user/aliceechonews/videos
allegannews.com,https://www.facebook.com/AlleganCountyNews,Allegan County News,usnpl.com,,Newspapers,http://www.allegannews.com,,https://www.youtube.com/channel/UC_WTBVZwDoyT_bmMugShQaw
allegannews.com,https://www.facebook.com/plainwellotsegoue,Plainwell & Otsego Union Enterprise,usnpl.com,,Newspapers,http://www.allegannews.com/union-enterprise,,
alleghanynews.com,,Alleghany News,usnpl.com,,Newspapers,http://www.alleghanynews.com,,
alliancetimes.com,https://www.facebook.com/AllianceTimes,Alliance Times-Herald,usnpl.com,,Newspapers,http://www.alliancetimes.com,,
alligator.org,https://www.facebook.com/floridaalligator,Independent Alligator,usnpl.com,thealligator,College Newspapers,http://www.alligator.org,,
allotsego.com,,Freeman's Journal,usnpl.com,,Newspapers,http://www.allotsego.com,,
almadentimes.com,,Almaden Times Weekly,usnpl.com,,Newspapers,http://www.almadentimes.com,,
almanacnews.com,https://www.facebook.com/AlmanacNews,Almanac ,usnpl.com,AlmanacNews,Newspapers,http://www.almanacnews.com,,https://www.youtube.com/user/almanacmp
alpineavalanche.com,https://www.facebook.com/pages/Alpine-Avalanche/115569998496043,Alpine Avalanche,usnpl.com,Rockslides,Newspapers,http://www.alpineavalanche.com,,
altnewsban.com,,Altamont News,usnpl.com,,Newspapers,http://altnewsban.com,,
altoonamirror.com,https://www.facebook.com/AltoonaMirror,Mirror,usnpl.com,AltoonamirrorPA,Newspapers,http://www.altoonamirror.com,,http://www.youtube.com/user/AltoonaMirror
altustimes.com,https://www.facebook.com/pages/Altus-Times/123778499231,Altus Times,usnpl.com,TheAltusTimes,Newspapers,http://altustimes.com,,https://www.youtube.com/channel/UCwoDG_sYa0B3PsMajjjre-A
