domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
activistpost.com,OpenSources;Allcott18,,TRUE,,,conspiracy,
actualidadpanamericana.com,OpenSources;PolitiFact;Allcott18,,TRUE,,,satire,
actualite.co,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
actualites.co,Allcott18;Grinberg19,,FALSE,,,,
addictinginfo.com,NewsGuard,,TRUE,,ownership;basicStandards;newsOpinion;management;deceptiveHeadlines;accountabilityPractices;contentCreators,,
addictinginfo.org,OpenSources,,TRUE,,,clickbait;unreliable,
adflegal.org,MBFC,,TRUE,Extreme Right;Propaganda;Anti-LGBT,,,
adflegal.org/media,OpenSources,,TRUE,,,hate,
adobochronicles.com,OpenSources;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,satire,
advocate.com,OpenSources,,TRUE,,,political;reliable,
afa.net,MBFC;Allcott18,,TRUE,Extreme Right;Hate Group,,,
ageofshitlords.com,MBFC,,TRUE,Right;Satire,,,
aheadoftheherd.com,OpenSources,,TRUE,,,bias,
ahtribune.com,OpenSources;Allcott18,,TRUE,,,unreliable;bias,
alabamaobserver.com,MBFC;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,FALSE,Imposter Site;Fake News,,,
albertatimes.com,Buzzfeed17;Buzzfeed18;Allcott18,,FALSE,,,,
aldipest.com,Allcott18;Grinberg19,,TRUE,,,,
alertchild.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
allenbwest.com,Allcott18,,FALSE,,,,
allenwestrepublic.com,MBFC;Allcott18;NewsGuard,,FALSE,Extreme Right;Propaganda,accountabilityPractices;labelsAdvertising;contentCreators;basicStandards;newsOpinion;deceptiveHeadlines,,
allnewspipeline.com,OpenSources;MBFC,,TRUE,Extreme Right;Conspiracy,,unreliable;conspiracy,
alphanewsmn.com,NewsGuard,,TRUE,,basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership,,
alt-market.com,OpenSources,,TRUE,,,conspiracy;bias,
alternativemediasyndicate.com,OpenSources;MBFC,,FALSE,,,fake,
alternet.org,OpenSources,,TRUE,,,political;reliable,
altright.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy;Hate Group,,,
alynews.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
amazingnews.net,MBFC,,FALSE,Extreme Right;Fake News,,,
americablog.com,OpenSources,,TRUE,,,bias;clickbait,
americafans.com,MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
americanborderpatrol.com,OpenSources,,TRUE,,,hate,
americandailynews.org,MBFC,,FALSE,Extreme Right;Propaganda,,,
americanflare.com,Allcott18;Grinberg19,,FALSE,,,,
americanflavor.news,MBFC;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Fake News,,,
americanfreepress.net,OpenSources,,TRUE,,,conspiracy;bias,
americanjournalreview.com,FactCheck;MBFC;Allcott18;NewsGuard;Grinberg19,,TRUE,Extreme Right;Conspiracy;Propaganda;Some Fake News,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
americankabuki.blogspot.com,OpenSources,,FALSE,,,junksci,
americanlookout.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Propaganda,ownership;labelsAdvertising;accountabilityPractices;newsOpinion;falseContent;basicStandards,bias;clickbait,
americannews.com,OpenSources;Wikipedia;PolitiFact;Allcott18,,FALSE,,,fake,
americannewsx.com,OpenSources,,FALSE,,,political;bias;satire,
americanoverlook.com,OpenSources,,FALSE,,,fake,
americanpatriotdaily.com,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda,,bias;clickbait;bias,
americanpeoplenetwork.com,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Fake News,,,
americanpoliticnews.co,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
americanpresident.co,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
americanprides.com,Allcott18;Grinberg19,,FALSE,,,,
americanprides.org,MBFC,,FALSE,Extreme Right;Fake News,,,
americanprinciplesproject.org,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americanreviewer.com,OpenSources,,FALSE,,,conspiracy,
americanthinker.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Conspiracy;Propaganda;Lack of Ownership Transparency,falseContent;basicStandards;newsOpinion;ownership;labelsAdvertising;contentCreators,bias,
americantoday.news,OpenSources;MBFC;Allcott18,,FALSE,Extreme Right;Propaganda,,rumor;bias,
americantoday.us,PolitiFact;Allcott18,,FALSE,,,,
americantruthseekers.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americanupdater.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
americasfreedomfighters.com,OpenSources;FactCheck;MBFC;Allcott18,,TRUE,Extreme Right;Propaganda;Conspiracy,,bias;clickbait,
americaslastlineofdefense.org,FactCheck;Buzzfeed18;NewsGuard,,FALSE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
americasnewest.com,Allcott18;Grinberg19,,FALSE,,,,
americatalks.com,FactCheck,,TRUE,,,,
ammoland.com,OpenSources,,TRUE,,,bias,
amplifyingglass.com,OpenSources,,FALSE,,,clickbait;satire,
amposts.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
amren.com,OpenSources;MBFC,,TRUE,Extreme Right;Hate Group;Propaganda,,hate,
amtvmedia.com,OpenSources,,TRUE,,,rumor;unreliable,
amusmentic.com,OpenSources,,FALSE,,,clickbait;rumor,
ancient-code.com,OpenSources,,TRUE,,,junksci;unreliable,
anews-24.com,MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda;Conspiracy;Fake News,,,
anews24.org,Allcott18;Grinberg19,,FALSE,,,,
anews24.org/,OpenSources;PolitiFact,,FALSE,,,fake,
angrypatriotmovement.com,OpenSources;MBFC;Allcott18;PolitiFact;Grinberg19,,TRUE,Extreme Right;Conspiracy;Propaganda;Some Fake News,,conspiracy;fake,
anonews.co,OpenSources;Allcott18;NewsGuard,,TRUE,,basicStandards;accountabilityPractices;newsOpinion;ownership;management;contentCreators,unreliable,
anonhq.com,OpenSources;Allcott18,,TRUE,,,unreliable,
anonjekloy.tk,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake,
anonnews.co,OpenSources,,FALSE,,,unreliable,
anotherdayintheempire.com,OpenSources,,FALSE,,,bias;conspiracy,
antinews.com,PolitiFact;Allcott18,,FALSE,,,,
antiwar.com,OpenSources,,TRUE,,,bias;unreliable,
antoniusaquinas.wp.com,OpenSources,,FALSE,,,bias;conspiracy,
arabnews.com,NewsGuard,,TRUE,,ownership;contentCreators;management;basicStandards;newsOpinion;accountabilityPractices,,
areyouasleep.com,Allcott18;Grinberg19,,FALSE,,,,
areyousleep.com,Buzzfeed17;Buzzfeed18;Allcott18,,FALSE,,,,
armyusanews.com,PolitiFact;Allcott18,,FALSE,,,,
aryannationswordwide1488.org,OpenSources,,FALSE,,,hate,
asamericanasapplepie.org,Snopes;PolitiFact;Allcott18;Grinberg19,,FALSE,,,,
ascienceenthusiast.com,NewsGuard,,FALSE,,newsOpinion;accountabilityPractices;ownership;labelsAdvertising;management,,
asia-pacificresearch.com,OpenSources,,TRUE,,,unreliable;satire,
assassinationscience.com,OpenSources,,TRUE,,,conspiracy;junksci,
associatedmediacoverage.com,OpenSources;Snopes;Buzzfeed16;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,FALSE,,,satire,
attitude.co.uk,PolitiFact;Allcott18,,TRUE,,,,
attn.com,OpenSources,,TRUE,,,political;clickbait,
aurora-news.us,OpenSources;MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Imposter Site,,fake,
automaticearth.com,OpenSources,,FALSE,,,unreliable,
automotostar.com,OpenSources,,FALSE,,,clickbait,
avoiceformen.com,MBFC,,TRUE,,,,
awarenessact.com,OpenSources;PolitiFact;Allcott18;NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,conspiracy;junksci,
awazetribune.com,OpenSources,,TRUE,,,satire,
awdnews.com,OpenSources,,TRUE,,,conspiracy,
awm.com,OpenSources;NewsGuard,,TRUE,,basicStandards;deceptiveHeadlines;accountabilityPractices;ownership;management;contentCreators,unreliable;bias;clickbait,
babylonbee.com,Allcott18;PolitiFact,,TRUE,,,,
badcriminals.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
baldwinpost.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
baltimoregazette.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
bannedinformation.com,FactCheck;MBFC,,FALSE,Extreme Right;Propaganda,,,
baptistnews.com,OpenSources,,TRUE,,,political,
barenakedislam.com,OpenSources;MBFC;Allcott18,,TRUE,Extreme Right;Hate Group,,hate,
barnesreview.org,OpenSources,,TRUE,,,hate,
battypost.com,Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
bb4sp.com,OpenSources;MBFC;PolitiFact;Allcott18;NewsGuard;Grinberg19,,TRUE,Extreme Right;Propaganda;Fake News,basicStandards;falseContent;deceptiveHeadlines;accountabilityPractices,conspiracy;bias;fake,
bbc-edition.com,NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
beaware.one,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy;Fake News,,,
bebest.website,Buzzfeed18;NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
beehivebugle.com,OpenSources,,TRUE,,,satire,
beforeitsnews.com,OpenSources;Wikipedia;MBFC;PolitiFact;Allcott18;NewsGuard;Grinberg19,,TRUE,Conspiracies;Fake News,ownership;management;falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;labelsAdvertising;contentCreators,fake;conspiracy;rumor,
belgique.actualites.co,Allcott18;Grinberg19,,FALSE,,,,
benjaminfulford.typepad.com,PolitiFact;Allcott18,,FALSE,,,,
bestthings.us,PolitiFact;Allcott18,,FALSE,,,,
betootaadvocate.com,OpenSources,,TRUE,,,satire,
beyondblindfold.com,NewsGuard,,TRUE,,contentCreators;management;ownership;accountabilityPractices;basicStandards,,
bients.com,OpenSources;Wikipedia;Allcott18;Grinberg19,,TRUE,,,clickbait,
bigamericannews.com,OpenSources,,TRUE,,,satire;fake,
bigbluedimension.com,OpenSources,,FALSE,,,rumor;bias,
bigbluevision.com,OpenSources,,FALSE,,,hate,
bigbluevision.org,OpenSources;MBFC;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,clickbait;bias,
biggovernment.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
bighairynews.com,OpenSources,,TRUE,,,fake;conspiracy,
bigleaguepolitics.com,NewsGuard,,TRUE,,ownership;management;deceptiveHeadlines;newsOpinion;accountabilityPractices;basicStandards;falseContent,,
bignuggetnews.com,OpenSources;Allcott18;Grinberg19,,FALSE,,,bias;rumor,
bipartisanreport.com,OpenSources;MBFC;Allcott18;NewsGuard,,TRUE,Extreme Left;Propaganda,falseContent;basicStandards;newsOpinion;deceptiveHeadlines;accountabilityPractices;ownership,clickbait;bias,
bipartisanreports.com,NewsGuard,,TRUE,,falseContent;basicStandards;newsOpinion;deceptiveHeadlines;accountabilityPractices;ownership,,
bizstandardnews.com,Wikipedia;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,TRUE,,,,
blackagendareport.com,OpenSources,,TRUE,,,unreliable,
blackgenocide.org,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda,,conspiracy;bias;hate,
blackinsurancenews.com,PolitiFact;Allcott18,,FALSE,,,,
blackinusrancenews.com,OpenSources,,FALSE,,,fake;unreliable,
blacklistednews.com,OpenSources,,TRUE,,,clickbait;unreliable,
blackpigeonspeaks.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
blingnews.com,FactCheck;MBFC,,TRUE,Extreme Right;Fake News,,,
blog.veterantv.net,PolitiFact;Allcott18,,FALSE,,,,
bloodandsoil.org,MBFC,,TRUE,Extreme Right;Hate Group,,,
bloomberg.ma,Wikipedia,,FALSE,,,,
blueinformer.com,MBFC,,FALSE,Extreme Right;Propaganda,,,
bluelinestrong.net,PolitiFact;Allcott18,,FALSE,,,,
bluenationreview.com,OpenSources,,TRUE,,,clickbait;unreliable,
bluetribune.com,MBFC,,FALSE,,,,
bluevision.news,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Some Fake News,,,
bluevisionpost.com,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
bluntforcetruth.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
body2diefor.com,NewsGuard,,TRUE,,ownership;management;newsOpinion;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
boilingfrogspost.com,OpenSources,,TRUE,,,unreliable,
bongino.com,NewsGuard,,TRUE,,management;contentCreators;ownership;basicStandards;newsOpinion;accountabilityPractices,,
borderherald.com,Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
borderlandalternativemedia.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
borowitzreport.com,OpenSources,,TRUE,,,satire,
boston-post.com,Buzzfeed18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
bostonleader.com,OpenSources;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,TRUE,,,fake,
bostontribune.com,OpenSources;PolitiFact;Allcott18,,FALSE,,,satire;fake,
breaking-cnn.com,Wikipedia;Buzzfeed18,,FALSE,,,,
breaking911.com,OpenSources;MBFC,,TRUE,Clickbait;Some Fake News,,clickbait;unreliable,
breakingnews247.net,Snopes;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
breakingnews365.net,Snopes;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
breakingnewsblast.com,PolitiFact;Allcott18,,FALSE,,,,
breakingtop.world,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
breakpoint.org,OpenSources,,TRUE,,,unreliable,
breitbart.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Propaganda;Conspiracy;Failed Fact Checks,ownership;newsOpinion;basicStandards;accountabilityPractices,political;unreliable;bias,
brightside.me,NewsGuard,,TRUE,,basicStandards;newsOpinion;accountabilityPractices;management;contentCreators,,
britainfirst.tv,MBFC,,FALSE,Extreme Right;Propaganda;Anti-Islam;Hate Group,,,
brotherjohnf.com,OpenSources,,FALSE,,,bias;conspiracy,
bullionbullscanada.com,OpenSources,,FALSE,,,conspiracy,
burrardstreetjournal.com,OpenSources;Snopes;CBS;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,TRUE,,,satire,
bustatroll.org,NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
butam.net,FactCheck;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
butthatsnoneofmybusiness.com,Allcott18;Grinberg19,,FALSE,,,,
buzzfeedusa.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake;rumor,
bvanews.com,OpenSources;Wikipedia,,FALSE,,,unreliable;bias;fake,
cair.com,MBFC,,TRUE,Poor Sourcing;Questionable Funding;Pseudoscience,,,
callthecops.net,OpenSources,,TRUE,,,satire,
canadafreepress.com,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy;Some Fake News,,conspiracy;bias,
cannasos.com,OpenSources;PolitiFact;Allcott18,,TRUE,,,fake;unreliable,
cap-news.com,OpenSources,,TRUE,,,fake,
cartelpress.com,Buzzfeed16;Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
cartelreport.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
cato.org/blog,OpenSources,,TRUE,,,political;reliable,
cbdhealthcures.com,NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
cbinfo24.com,FactCheck;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
cbs-news.us,NewsGuard,,FALSE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
cbsnews.com.co,OpenSources;MBFC,,FALSE,Imposter Site;Fake News,,fake,
cbsnews10.com,Buzzfeed18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;deceptiveHeadlines;ownership;management;contentCreators,,
cdc.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
celebtricity.com,OpenSources;Wikipedia;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,satire,
censored.news,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
censorship.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
centerforsecuritypolicy.org,OpenSources,,TRUE,,,bias;conspiracy,
centerforsecuritypolicy.org/#articles,OpenSources,,TRUE,,,hate,
cernovich.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
cgtn.com,NewsGuard,,TRUE,,basicStandards;newsOpinion;accountabilityPractices;ownership;management;contentCreators,,
channel-7-news.com,OpenSources;Allcott18,,FALSE,,,fake,
channel16news.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
channel17news.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
channel18news.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,TRUE,,,fake,
channel22news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard;Grinberg19,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel23news.com,FactCheck;Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard;Grinberg19,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel24news.com,Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel28news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard;Grinberg19,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel33news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel34news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard;Grinberg19,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel40news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel45news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard;Grinberg19,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel46news.com,Buzzfeed17;Buzzfeed18;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
channel5000.com,Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
channel55news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel56news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel59news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel60news.com,Buzzfeed17;Buzzfeed18;Allcott18,,FALSE,,,,
channel62news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel63news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel65news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel66news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel68news.com,Buzzfeed17;Allcott18,,FALSE,,,,
channel77news.com,Buzzfeed17;Allcott18,,FALSE,,,,
charismanews.com,OpenSources,,TRUE,,,bias,
chaser.com.au,OpenSources,,TRUE,,,satire,
checkoutthehealthyworld.com,OpenSources,,TRUE,,,junksci;clickbait,
chicksonright.com,NewsGuard,,TRUE,,basicStandards;newsOpinion;deceptiveHeadlines,,
chicksontheright.com,OpenSources;Allcott18,,TRUE,,,clickbait;bias,
choiceandtruth.com,Allcott18;Grinberg19,,FALSE,,,,
christianaction.org,MBFC,,TRUE,Extreme Right;Propaganda;Hate Group,,,
christianfightback.com,OpenSources,,FALSE,,,hate;bias,
christianheadlines.com,NewsGuard,,TRUE,,basicStandards;newsOpinion;management;contentCreators,,
christianpost.com,OpenSources,,TRUE,,,reliable;political,
christiantimes.com,CBS,,TRUE,,,,
christiantimesnewspaper.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,rumor;bias;fake,
christiantoday.com,NewsGuard,,TRUE,,newsOpinion;accountabilityPractices;contentCreators;ownership;labelsAdvertising,,
christiantoday.info,PolitiFact;Allcott18;Grinberg19,,FALSE,,,,
christwire.org,OpenSources,,TRUE,,,satire,
chronicle.su,OpenSources,,FALSE,,,satire,
chroniclesmagazine.org,OpenSources,,FALSE,,,political,
chuckcallesto.blogspot.com,Allcott18;Grinberg19,,FALSE,,,,
cis.org,MBFC,,TRUE,Extreme Right;Anti-Immigration Propaganda;Misleading Claims,,,
citizensunited.org,OpenSources,,TRUE,,,bias,
city-herald.com,PolitiFact;Allcott18,,FALSE,,,,
city-journal.org,OpenSources,,TRUE,,,political,
cityworldnews.com,OpenSources;MBFC,,TRUE,Fake News,,fake,
civictribune.com,OpenSources;CBS;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;Grinberg19,,TRUE,,,fake,
clancyreport.com,Buzzfeed16;Allcott18;Grinberg19,,FALSE,,,,
clarionproject.org,MBFC,,TRUE,Extreme Right;Hate Group,,,
clashdaily.com,OpenSources;MBFC;Allcott18;PolitiFact;NewsGuard;Grinberg19,,TRUE,Extreme Right;Hate Group;Propaganda,labelsAdvertising;falseContent;newsOpinion;ownership;deceptiveHeadlines;basicStandards;accountabilityPractices,fake;conspiracy;bias,
clear-politics.com,Allcott18;Grinberg19,,FALSE,,,,
clickhole.com,OpenSources,,TRUE,,,satire,
climate.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
cloudpolitical.com,FactCheck,,FALSE,,,,
cnewsgo.com,PolitiFact;Allcott18,,FALSE,,,,
cnn-business-news.ga,PolitiFact;Allcott18,,FALSE,,,,
cnn-globalnews.com,MBFC;Buzzfeed17;Allcott18,,FALSE,Imposter Site;Fake News,,,
cnn-internationaledition.com,Buzzfeed17;Allcott18,,FALSE,,,,
cnn-trending.com,Wikipedia,,FALSE,,,,
cnn.com.de,MBFC;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,Imposter Site;Fake News,,,
